african_american_english,standard_american_english
Good Game Today We All Played Good Mall Had Some Assist And He Went To The Cup Some Shit We Never Saw Before lol,"Good game today. We all played well. Mall had some assists and he went to the cup, which is something we've never seen before, lol."
Man My Life So Real Last Night I Went To Bed And Woke Up With The Chills,"Man, my life is so real. Last night I went to bed and woke up with the chills."
@VillBoy_Vinny Im saying he over all of us so idk imma call him again and see what's up,"I'm saying he's over all of us, so I don't know. I'm going to call him again and see what's up."
@_SuckMyLilly @Aliyyah_DoubleY Ight it over thou stop talking bout it b4 they end yall season and its going. good thus far,"Alright, it's over now. Stop talking about it before they end your season, and it's going well so far."
"So Janurary 18,2013 a make it 8yrs i known u n u been n mii life been proposed too n got children out da deal.....CDC","So on January 18, 2013, it will make 8 years that I've known you and you've been in my life. We've been proposed to and had children out of that deal... CDC."
What Job You Got ? Where You Getting Yo Income At ? Oh Wait You Aint Got No Job Either Lmaoo,"What job do you have? Where are you getting your income from? Oh wait, you don't have a job either. Laughing my ass off."
"Onyx need to step up the bitches that strip in that jawn, so bitches in that jawn be weak as shit for real.'","Onyx needs to improve the strippers in that place, so the strippers in that place are weak as shit for real."
The ones that's not ready for a relationship be the main one always talking about wanting a serious relationship. #stfu lol,"The ones who are not ready for a relationship are the main ones always talking about wanting a serious relationship. Shut the fuck up, laughing out loud."
Still LMFAO at my bestie yesterday... Community Penis Oh NO... Nobody got time for that,I'm still laughing out loud at my best friend from yesterday... Community Penis Oh NO... Nobody has time for that.
I've known this guy for maybe half my life and 1 split sec I smelled his breath and I instantly didn't want to know him smh,"I've known this guy for maybe half my life and in one split second I smelled his breath and I instantly didn't want to know him, shaking my head."
Kill a 6lood win a prize kill a Crip then ya whole family dies #Clatttt,"Kill a Blood gang member and win a prize, kill a Crip gang member then your whole family dies. #Clatttt"
Imma take a nap and when I get up I'm goin to  watch movies the rest of the night.,I'm going to take a nap and when I get up I'm going to watch movies for the rest of the night.
Really do look different with a haircut but ol well byebye Afro welcome back waves,"I really do look different with a haircut but oh well, goodbye Afro, welcome back waves."
@Dopest_Kiid bout tat single life aint for her and I unfriend her last week and she sent me a friend request lastnight and was throwin slams,"The single life is not for her, and I unfriended her last week, but she sent me a friend request last night and was being aggressive."
"Dear Teacher, Uma A Day Dreamer Everybody Knows It so Why Tha FUCK YHU ASKIN MHE STUPID ASS QUESTION WHILE I DAY DREAM #PayAfuckintention","Dear Teacher, I am a daydreamer, and everybody knows it, so why are you asking me a stupid question while I daydream? #PayAttention"
Bitches Be Likk Real Reconize Real So I be Likk So In Others Words She's Fake n so r u so now yall BESTIES ! #Tragic,"Bitches be like 'real recognize real', so I be like 'so in other words, she's fake and so are you, so now y'all are besties!' #Tragic"
My Mom Sedd Tha World Kant Deal With 2 of Mhee She 's happy She didnt  have Twins. Yeah Kuz i really Like havin a lil brutha ! #Sarcasm :-),"My mom said the world can't deal with two of me. She's happy she didn't have twins. Yeah, 'cause I really like having a little brother! #Sarcasm :-)"
On My Way To The Hell Holee They Call School Urq . Fuck These Females Me N My Bestfrann Are Irregular And we Kno That Shiz ! ;) Bye Babies!,"On my way to the hellhole they call school. Fuck these females, me and my best friend are irregular and we know that! ;) Bye babies!"
This Tattoo Man Need To Text Backkk . Im Trynaa Get Tatted Likee My Amigooo,This tattoo artist needs to text me back. I'm trying to get tattooed like my friend.
@ShutUpNSuck Lorddd I Swea To Godd Yu Bogish Asl . Dont Ask Me Fa Shit Else . Goofy Ass .,"Lord, I swear to God, you are bogus as hell. Don't ask me for anything else, you goofy person."
"Sleeping is my drug, my bed is my dealer and my alarm clock is the police.","Sleeping is my drug, my bed is my dealer, and my alarm clock is the police."
I am keeping the stuff I say to myself. cuz we got some snichtes on the team,"I am keeping the stuff I say to myself, because we have some snitches on the team."
@cutie_anabelle she told quia she done cuz she anit call her for chrismas and them me and tater head was like ship us some from the store,"She told Quia she's done because she didn't call her for Christmas, and then me and Tater Head were like 'ship us some from the store'."
If I was in the Dome I would be deaf and mute by HT. #Falcons,If I was in the Dome I would be deaf and mute by the end of the day. #Falcons
Ain't nobody trying to hear them sad ass stories u ain't real yea I heard it from the horses mouf,"Nobody is trying to hear those sad stories. You're not real, yeah I heard it straight from the source."
Been fucking with @bodacious_cutie  since I was a youngsta always gone be my bitch #attheendoftheday I got her wen she ain't around,"I've been involved with @bodacious_cutie since I was young, she'll always be my partner. #attheendoftheday I have her when she's not around."
@CHANBABI_ lol nope not daisy she is no longer in service ...... Cud u pls hang up n try the person again goodnight,"Lol no, not Daisy, she is no longer in service. Could you please hang up and try the person again? Goodnight."
Eyan off to school back to slp I go till I take him to the doctor,"I'm off to school, then I'll go back to sleep until I take him to the doctor."
Come on guh n wat he ain't doin he ain't even gotta open his mouf his face says it all lol,"Come on, girl, and what he isn't doing, he doesn't even have to open his mouth, his face says it all, laughing out loud."
Then it makes u look bad wen u young and u old come on now #notagoodlook,"It makes you look bad when you are young and you are old. Come on now, that's not a good look."
Bout to throw eyan in the tub n get ready for the bay to come see me,I am about to throw eggs in the tub and get ready for the bay to come see me.
@cutie4lyfe @SupaSoaka_Dee yea that scary bitch lied on ya with ha fraud ass but I'm gone see ha believe that,"Yes, that scary woman lied about you with her fraudulent claims, but I will see her and make her believe that."
Don't wanna go out but I wanna get gq n get drunk n fuck lol,"I do not want to go out, but I want to get dressed up nicely and get drunk and have sex, haha."
@LookBetta_Red her page is public now so everyone should be able to see it on mine or Latifah knowell on fb,"Her page is public now, so everyone should be able to see it on mine or Latifah Knowell on Facebook."
Better have tht thing on yu if yu out in those streets this time of nite,You better have that thing on you if you're out in those streets at this time of night.
Better be on your shxt n the city dis week those Jake boyz out looking for away to cum up,You better be on your game in the city this week. Those Jake boys are out looking for a way to come up.
Its this person i'm really feeling! Everytime I can't see them I get this cold  chill and a bit upset....,"This is a person I'm really feeling! Everytime I can't see them, I get this cold chill and feel a bit upset."
Today im going to the gym!!!! Cant wait to see how much I weigh lol,"Today I'm going to the gym! Can't wait to see how much I weigh, lol."
@OnellElliott I should have said stfu and get tf on!! But im trying to change my old ways:-),I should have said 'shut the fuck up and get the fuck on!' But I'm trying to change my old ways :)
Damn to tht reminds I need to pay my car insurance shit I new I had too much money lingering,"Damn, that reminds me I need to pay my car insurance. Shit, I knew I had too much money lingering."
It bothers me sometime cuz I dnt deal wit my brother like I should I mean him and my stepdad where the only father figures I had,"It bothers me sometimes because I don't deal with my brother like I should. I mean, him and my stepdad were the only father figures I had."
Came to my final decision Maryland isn't wrking out for me so time to move on,"I've come to my final decision that Maryland isn't working out for me, so it's time to move on."
Yo I swear 2012 was not my year just looking back at all the shit I went thru emotionally nd financially,"I swear 2012 was not my year, just looking back at all the shit I went through emotionally and financially."
Tryna find some where to get my bumper fixed does anybody kno any decent places ?,I'm trying to find somewhere to get my bumper fixed. Does anybody know any decent places?
Yo why is he tlking my head off I should have never answered the phone,Why is he talking my head off? I should have never answered the phone.
So I'm cool wit losing the little of friends of I have if it comes to tht,So I'm okay with losing the few friends I have if it comes to that.
This nigga knows I dnt feel good and it's cold as shit but yet and still he wanna take 20 mins to find a spot to shit,"This guy knows I don't feel good and it's cold as shit, but yet and still he wants to take 20 minutes to find a spot to use the restroom."
"Master P is back in full effect, lil Wayne &amp; Rocky might need to watch out","Master P is back in full effect, Lil Wayne and A$AP Rocky might need to watch out."
"Nigga smiling in my homie face about him loosing his keys, I catch this nigga laughing &gt;&gt; Niggas be fake &lt;&lt;","The person was smiling in my friend's face about him losing his keys, I caught this person laughing. People can be fake."
Already cashedout the other day guess i'll do it again today gotta stay sexi for my bby....,"I already cashed out the other day, I guess I'll do it again today. I have to stay sexy for my baby."
In 10 mins its gon be 4 months . Ima say happy anniversary and hang up . Ion have time for this .,In 10 minutes it will be 4 months. I will say happy anniversary and hang up. I don't have time for this.
"Laying in the dark , listening to music . Yep i have no life .","I am laying in the dark, listening to music. Yes, I have no life."
@itsMo__ she said you can get me some and i pay you back and we eat it here :/ .. Lol,"She said you can get me some and I'll pay you back, and we can eat it here. Laughing out loud."
Nothing anybody can do or say to me will ever take away my right of feeling beautiful :) lol fr,"Nothing anyone can do or say to me will ever take away my right to feel beautiful. Haha, for real."
Thats the thing i aint fake what i said to you i said to her yesterday and today . You told her like i was dogging her . You was being messy,"That's the thing, I'm not fake. What I said to you, I said to her yesterday and today. You told her like I was putting her down. You were being messy."
Cause how you talking to me gon make me knock yo ahh clean out . Really .,How you talk to me is not going to make me knock your butt clean out. Really.
Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not about to clock you in. Smh,What is so hard about coming to pick up a badge so your check is correct? I'm not about to clock you in. Shaking my head.
"I'm what you want. I'm what you need. She got you trapped ill set you free. Sexually, mentally, psychically, emotionally","I'm what you want. I'm what you need. She has you trapped, I'll set you free. Sexually, mentally, physically, emotionally."
"I didn't win $1,000 a week for life but I did win $4 bucks lol","I did not win $1,000 a week for life, but I did win $4, which is funny."
So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna take my time...no time for accidents,So I'm up... But my boss said to gauge whether it's safe for me to go to work... I'm going but I'm going to take my time...no time for accidents.
Gatorade and powerade use to be so nasty to me but now I luh Dat shit,Gatorade and Powerade used to be so nasty to me but now I love that stuff.
@sOOPer_BAD they all look good that's why if I wasn't black I would hope I was Persian,They all look good that's why if I wasn't black I would hope I was Persian.
@kolombin3 or go to food services but either way corporate need to send them some damn sauce,"Either go to the food services or contact corporate, but they need to send some damn sauce."
@_NighaUStewpid_ not like talking bout it.  He went to sleep @ 11 nd it's 1:46 we got the music up loud nd everything,"Not like talking about it. He went to sleep at 11 and it's 1:46, we have the music up loud and everything."
That relationship where you can say anything to him and its still all good &gt;&gt;&gt;,That relationship where you can say anything to him and it's still all good.
@EricaPerson1 @REAL247TINA @jazzy_person @MzThickums23 erica thats what i tell you. Its so hard to find good help these days,"Erica, that's what I tell you. It's so hard to find good help these days."
First i had a dream a friend was pregnant and we were gonna share the baby...then i was pregnant n my grandma came to the hospital,"First, I had a dream that a friend was pregnant and we were going to share the baby... then I was pregnant and my grandmother came to the hospital."
@skinnyp38 lol idiot. Its gon happen tnight!? I just asked her not even an hour.ago!,"Lol, idiot. It's going to happen tonight!? I just asked her not even an hour ago!"
All my life I wanted money and power. Respect my mind or die from lead showers.,All my life I wanted money and power. Respect my mind or face the consequences.
@alluRED___ Smh. I bet. Lol. Imma hold you to it then. But I'm not gonna worry bout it...cause I know you lying,I doubt that. I'm not going to worry about it because I know you're lying.
This phone be doing shit by itself. Like turning off my mobile hotspot for one.,"This phone is doing things by itself, like turning off my mobile hotspot."
@alluRED___ you ain't give me my steak yet so I don't wanna talk to you. Lol.,"You haven't given me my steak yet, so I don't want to talk to you."
You called da bitch a hoe yet you still trynna get wot dat bitch ass hoe. Smh. Foolish,"You called the woman a derogatory term, yet you're still trying to get what that woman has. Shaking my head. Foolish."
@lickmy_woahdere if tiara come over here tomorrow ill tell her to drop me off at yo house...IF she will,"If Tiara comes over here tomorrow, I will tell her to drop me off at your house... if she will."
I swear I hate being touched. Lol. I don't know why I just don't like people touching me.,"I strongly dislike being touched. I do not know why, but I simply do not enjoy people touching me."
@SHAQKNO cause u fool up nd u always arguin wit @LaBrae_Luvme . Lol. Yall be trippin me out. I be twatchin. Lmao,Because you messed up and you're always arguing with @LaBrae_Luvme. Laughing out loud. You all are tripping me out. I'm watching. Laughing my ass off.
My daddy ask me do I like vanilla or chocolate. Lmao. I told dat nigga ion discriminate. I love all my Bitches nd all my Bitches love me!!,My dad asked me if I like vanilla or chocolate. Laughing my ass off. I told him I don't discriminate. I love all my ladies and all my ladies love me!
Look at da bitch face u be like...:) den look at da bitch feet nd be like ...duhn duhn duhn duhhhhhnn!!! Lls,Look at the woman's face and you'd be like :) then look at the woman's feet and be like dun dun dun dun!!! Laughing out loud.
I'm bout to go to sleep tweeple. Catch me in bout 6-10 hours. Fuck wit me.,"I'm about to go to sleep, people. Catch me in about 6-10 hours. Mess with me."
I can't stand a muhfucka that don't know what the fuck he talking bout nd steady flappin ya gums nd shit,I can't stand someone who doesn't know what they're talking about and keeps talking nonsense.
Django dumb as hell. I wouldn't have killed all dem Niggas fuh one bitch. I could see if it was a bus load of Bitches,Django is dumb as hell. I wouldn't have killed all those people for one woman. I could see it if it was a bus load of women.
For sum reason i can't dream or go to slp when it rain so i just sit up alight listening 2 pure cocaine,"For some reason I can't dream or go to sleep when it rains, so I just sit up all night listening to pure cocaine."
I gotta college girl dat go to church er Sunday asked me do I think bout gettin saved,I have a college girl who goes to church every Sunday. She asked me if I think about getting saved.
@CoCkY_AzZ_mEll I just woke up my nigga u know I work ova nite ion get off till 7 in da morning,"I just woke up, my friend. You know I work overnight and I don't get off until 7 in the morning."
@_YellowPharaoh_ I was gon tell you she told us it wasn't due till next week but if I didn't tell you you was gon actually do your work,"I was going to tell you that she told us it wasn't due until next week, but if I didn't tell you, you were actually going to do your work."
"@_Twitler_ may you explain what an op-Ed is? I may contemplate entering into business with you, but not before I receive more information",<UNKNOWN>
Tweeting in such ways also causes my head a slight amount of pain as I am not used to thinking in this manner,Tweeting in such ways also causes me a slight amount of discomfort as I am not used to thinking in this manner.
"Moms brought home the drug test one night bt I was sleep when she got home , and I saw it on the dining room table at like 2aM","My mother brought home the drug test one night, but I was asleep when she got home, and I saw it on the dining room table at around 2 a.m."
You can get it you can get you can get it you can get it,"You can get it, you can get it. You can get it, you can get it."
This Movie always make my mood better Lmaoo he funny as hell &amp; his brother,"This movie always makes my mood better. Laughing my ass off, he's funny as hell and his brother."
Ya might invest lots if money but ya guaranteed to stay happy and get ya some pussy...!,"You might invest a lot of money, but you're guaranteed to stay happy and get some."
"Sure There Are Other Fish In Th Sea , But You Will Always Be My Nemo","Sure, there are other fish in the sea, but you will always be my Nemo."
"Eveeybody Turning Up ToNight , But I Don't Have A Ride To Go No Where","Everybody's turning up tonight, but I don't have a ride to go anywhere."
@Justt_Mandyy  how was church on New Year's Eve ? I need to get back to going to church!!,How was church on New Year's Eve? I need to get back to going to church!
"@Redskin_Girl  With RG3 and Alfred Morris on our side, we can make it happen. HTTR!!!","With Robert Griffin III and Alfred Morris on our side, we can make it happen. Hail to the Redskins!!!"
"@JasonJwhite5  We tha Hottest team in tha NFC, ain't nobody fuck'in wit us right now!!! Lets keep it that way, HTTR!!","We are the hottest team in the NFC, nobody is messing with us right now!!! Let's keep it that way, Hail to the Redskins!!"
@SKINSNATION2012 don't let them fools give that award to Luck or Wilson. It belongs in D.C!!! HTTR!!,Don't let them fools give that award to Andrew Luck or Russell Wilson. It belongs in Washington D.C.!!! Hail to the Redskins!!
@F8pTrui8EKbd6  I'm in. I just need a key. And yes u are Very Sexy!! Are you a Skins Fan? I hope so. We need more sexy fans( female).,"I'm in. I just need a key. And yes, you are very sexy!! Are you a Redskins fan? I hope so. We need more sexy female fans."
"@FatBradPit  I know, you can go everywhere now on the subway. My old man used to drive the Metro!","I know, you can go everywhere now on the subway. My father used to drive the Metro!"
"@__zebraaa  Cute kid, nice tatt, and let the men handle the grill. I see a Michael Jackson moment waiting to happen","Cute kid, nice tattoo, and let the men handle the grill. I see a Michael Jackson moment waiting to happen."
"@deedeehttr I'm originally from N.E D.C, so we keeping it real east Coast style. Burn one for your boy!!","I'm originally from Northeast Washington, D.C., so we're keeping it real East Coast style. Burn one for your boy!!"
"@BamaDJs  I'm not a DJ but I know a couple DJ, and will tell them about your site!","I'm not a DJ but I know a couple DJs, and I will tell them about your site!"
@kenbee_ u have Lakers and mike Jordan in the same sentence in your bio tho,"You have the Lakers and Michael Jordan in the same sentence in your bio, though."
@FizzleDollas man my cell off till I pay what I owe lol. Dm me ya email so I can send u a few rough joints I got right now,My cell phone is off until I pay what I owe. Haha. Direct message me your email so I can send you a few rough drafts I have right now.
Day say wat don't kill u only make u stronger so two drinks a nite should help mhe live longer lol,"They say what doesn't kill you only makes you stronger, so two drinks a night should help me live longer. Haha."
@Wenzroc ctfu a lil of both but its cool im slowly resurfacing and i still got till im 25 to grow another inch or 2......or 5 God knows ard,"Haha, a little bit of both, but it's cool. I'm slowly resurfacing and I still have until I'm 25 to grow another inch or two... or five. God knows."
"@WillyWarbucks Tyrese - I wanna go there, Tank - Sex, Love, and Pain, Trey Songz - Ready","Tyrese - I Wanna Go There, Tank - Sex, Love, and Pain, Trey Songz - Ready."
She is weird for wanting her son to be both!!! Why would u want ur child to be Muslim and Christian??? Smh,She is weird for wanting her son to be both Muslim and Christian. Why would you want your child to be of two different religions? Shaking my head.
"I just took a pill bcuz my neck was killing me,now im getting sleepy!!! If i go to sleep i wont study!!!","I just took a pill because my neck was hurting me, and now I'm getting sleepy!!! If I go to sleep, I won't study!!!"
"If i had a boyfriend he would b made with ms.novod,, she takes away from all my free time","If I had a boyfriend, he would be mad at Ms. Novod, as she takes away from all my free time."
@ray_bandzman I got faith in you neph it happend to the best of us many ways you'll make it through your're yung but old enuff to know,"Ray, I have faith in you, nephew. It happened to the best of us, but in many ways, you'll make it through. You're young, but old enough to know."
"Im really missing my babies @eAt_My_BEautE , @jaydahbaddest , @mzJulinda , and my baby girl @My_BeautyKillz .... Cant wait to see them ..!!!","I'm really missing my babies @eAt_My_BEautE, @jaydahbaddest, @mzJulinda, and my baby girl @My_BeautyKillz.... Can't wait to see them..!!!"
@Dew4yne I thought I was the only one that new this song!!!!!!! 2points for you,"Dew4yne, I thought I was the only one who knew this song!!!!!! 2 points for you."
Somebody really should text me got a new number soo if u wany it ask !,"Somebody really should text me, I got a new number, so if you want it, just ask!"
@AlwaysCheezin its true. Just like he said. They stupid for letting him go. Even if he do break all the rules.,"@AlwaysCheezin, it's true. Just like he said. They were stupid for letting him go, even if he did break all the rules."
"Aww man. The tigers lost. But on the plus side, the tigers won so everythings cool right?","Aw man, the Tigers lost. But on the plus side, the Tigers won, so everything's cool, right?"
"When people ask you Wyd and you taking a crap, what you supposed to say?","When people ask you 'What are you doing?' and you're taking a crap, what are you supposed to say?"
"I said it don't matter if I achieve my goal or not, there's gonna be some girl trying to give it up. So what I gotta Chase chicken heads for","I said it doesn't matter if I achieve my goal or not, there's going to be some girl trying to give it up. So what, I've got to chase chicken heads for?"
Cj fat butt is really cutting up because I will not give him some chips,Cj's fat butt is really upset because I will not give him some chips.
"@RYouTeamYanna oh okay, sorry to hear that, is she here at shands? ill try &amp; check het status before i leave work!","Oh okay, sorry to hear that. Is she here at Shands? I'll try to check her status before I leave work!"
"Im a good Person to Finger a Person's intentions, I can tell wen something or someone aint right but him, I WANT HIM!!!","I am a good person to discern a person's intentions. I can tell when something or someone is not right, but him, I want him!"
"@GirlyGirl_Qeria where were yu wen i was looking for yu, yu know we be going evey morning!",Where were you when I was looking for you? You know we go every morning!
"Bitches be so worried bout da wrong thing, but aint got a pot to piss in or a window to throw it out of!","Bitches are so worried about the wrong thing, but don't have a pot to piss in or a window to throw it out of!"
"IDGAF Wat He Do Wen I Aint Round, Everybody Aint 100 Wen They Not In A Bitch Face!","I don't care what he does when I'm not around, everyone isn't 100% when they're not in a bitch's face!"
"If That Pussy Sound Like Mac &amp; Cheese Wen Yu In It, SHE'S A KEEPER!!!","If that pussy sounds like mac and cheese when you're in it, she's a keeper!!!"
"Fuck wrong w/ dese bitches lately, hoe betta get on they knees &amp; lick me! Nicki vc!","What's wrong with these bitches lately, the hoe better get on their knees and lick me! Nicki vc!"
"Bitches be putting they every move on twitter, like twitter paying them to bust a move!","Bitches be putting their every move on Twitter, like Twitter is paying them to bust a move!"
He waz ova my huse da otha day had to but him out he to cocky @MUSTANG_BO,"He was over my house the other day, I had to kick him out, he's too cocky @MUSTANG_BO"
Nw days u can't call no hoes yo phne just gotta Cal dem hoes by dey name,"Nowadays, you can't call any women on the phone, you just have to call them by their name."
I kno yall thank i be online all day...but i promise i be on da grind. My gig jus coo af.,"I know you all think I'm online all day, but I promise I'm on the grind. My job is just cool as fuck."
Niggaz caint be on da guestlist so dey try to make da shitlist. Ol fuck azz nigga who iz YOU??,"Guys can't be on the guest list, so they try to make the shit list. Oh, fuck-ass guy, who are you??"
The Senate has confirmed John Keery as head of State! They had this set ip from the begining!,The Senate has confirmed John Kerry as head of State! They had this set up from the beginning!
@Jwalkin2 he prolly did it without gloves once and fucked around an wiped his eyes and couldn't see for a week.,He probably did it without gloves once and messed around and wiped his eyes and couldn't see for a week.
I think  Christian Ponder is the big winner tonight. At least he's a capable no 2 QB. Webb is hot garbage.,I think Christian Ponder is the big winner tonight. At least he's a capable backup quarterback. Webb is poor quality.
@TiteMill @Marcscottsc2nc @BestCoachCasey @Jwalkin2 yeah man. Thats why Melo walked straight to Boston locker room after the game!,"Yeah, that's why Carmelo Anthony walked straight to the Boston locker room after the game!"
@Marcscottsc2nc @titemill @bestcoachcasey @vanhout1037 @myermack @jwalkin2 sometimes they do son. Emit Smith is leading rusher...,"Sometimes they do, son. Emmitt Smith is the leading rusher..."
"I really don't feel like buying no tracks, I hope my hair turn out right !!","I really don't feel like buying any tracks, I hope my hair turns out right!"
"I was really ready to ride for dude, guess he still wanna do him. I can't trip!!","I was really ready to support the guy, I guess he still wants to do his own thing. I can't be upset about it!"
"My main focus is Lamont D. Williams, because I still care &amp; I probably always will!!","My main focus is Lamont D. Williams, because I still care and I probably always will!"
"You think Ima trip over another bitch nigga, hell naw Ima keep doing what I been doing with him!","You think I'm going to trip over another man, hell no I'm going to keep doing what I've been doing with him!"
I ain't going home after school today ! Yay I won't have to endure my thoughts until I sleep!!,"I'm not going home after school today! Yay, I won't have to endure my thoughts until I sleep!"
"I'm most definitely bout to go home, I hope everything goes as I planned tonight, but if not I'll do it by myself !!!!!","I'm most definitely about to go home, I hope everything goes as I planned tonight, but if not I'll do it by myself!"
"My daddy be killing me when he act like he got shit to do &amp; don't be doing a damn thing !,",My dad really gets on my nerves when he acts like he has things to do and doesn't actually do anything!
Oomf completely embarrassed himself lastnight but I'm still tryna ''get on his level'' !! waab !,"My friend completely embarrassed himself last night, but I'm still trying to 'get on his level'!! Wow!"
"But then again he not een my baby, but I definitely want him to be : ( !!","But then again, he is not even my boyfriend, but I definitely want him to be :( !!"
"Ion owe you shit what you do for me, you ain't sell this work, you ain't shoot for me.","I do not owe you anything for what you did for me, you did not sell this work, you did not shoot for me."
So glad I don't have to depend on Brian to take me to work anymore !!,I am so glad I do not have to depend on Brian to take me to work anymore!!
My daddy just texted me &amp; said ''GO TO BED EARLY GOTTA TAKE EXAM TOMARR '' I'm weak he childish !,"My dad just texted me and said 'Go to bed early, you have an exam tomorrow'. I'm weak, he is being childish!"
@JasssMe_Up is most definitely the gurlfriend because she favorited all my tweets attempting to wake me up!!!,@JasssMe_Up is most definitely the girlfriend because she favorited all my tweets attempting to wake me up!
"My bestfriend is soooo gay, he said if you gon hit me hit me right, its sooooo damn ewwww!!","My best friend is so gay, he said if you're going to hit me, hit me right, it's so damn gross!"
"I'm waab at Americas Supernanny, the mama told the sons she was gon tell their teachers if they don't go to bed!!","I'm watching America's Supernanny, the mother told the sons she was going to tell their teachers if they don't go to bed!"
"Remember every body was waiting on last summer &amp; aint shit happen fr . It was a couple moments , but it wasn't shit .","Remember everyone was waiting on last summer and nothing happened for real. There were a few moments, but it wasn't anything significant."
"Lh I remember my daddy got mad cause I was taking Brandon dreads down , &amp; was talking all shit .","I remember my dad got mad because I was taking Brandon's dreadlocks down, and was talking a lot of nonsense."
"@_RayRayBEE I seeee it , but i dont wanna talk . Im trying to dooo some .","I see it, but I do not want to talk. I am trying to do some things."
"@_RayRayBEE mannnn yea . Dang , are you getting mad ? You PETTY dawggg :/","Man, yeah. Dang, are you getting mad? You are being petty, dog."
Awwww Trevonnn wanna retweet shit from last night ? .... Lemme go do that right fast,"Aww, Trevon, do you want to retweet things from last night? Let me go do that right away."
"This boy got hit by a car , but aint shit wrong himmm . My granny got mad cause I said his asss wasn't even supposed to be here he EXPELLED","This boy got hit by a car, but there is nothing wrong with him. My grandmother got mad because I said he was not even supposed to be here, he was expelled."
Lhhh fck Tim &amp; Alexissss . That bitch aint my best friend no more -___- :/,"Ugh, forget Tim and Alexis. That woman is no longer my best friend."
My lil sister nasty asss slept in her shoes . Im finnna SNITCH !!! Lbs.,"My little sister slept in her shoes, which is nasty. I'm going to tell on her!"
Now I a give anything just for him to be HERE !!! &lt;&lt;&lt;&lt; RIP &amp; HBD mannn.,"Now I would give anything just for him to be here! RIP and happy birthday, man."
"Every time I go to ihop , I never get pancakes. Today I got these caramel ones &amp; they was fareeee &gt;&gt;&gt;","Every time I go to IHOP, I never get pancakes. Today I got these caramel ones and they were great."
My lil brother just said he think our lil sister Erica going be ugly &lt;&lt;&lt; ctfu.,My little brother just said he thinks our little sister Erica is going to be ugly. (Laughing out loud)
I guesss Trevonnn wanna say good morning tooo ? Or he just getting mad for no reason.,I guess Trevon wants to say good morning too? Or he's just getting mad for no reason.
@ttboutadolla I'm not none of that just a loner lol and ugghh do something lol,"I'm not any of that, just a loner and ugh, do something."
"She ugly as fuck though, why she keep fumbling with that nappy ass hair #Catfish","She is ugly as fuck though, why does she keep fumbling with that nappy hair. #Catfish"
@_kadijahhhhhhh you one retarded ass girl just make sure your mug shot look better then mine.,"You are one retarded girl, just make sure your mugshot looks better than mine."
My mama the only person get mad at me cause ion wanna eat what she cooked.,My mom is the only person who gets mad at me because I don't want to eat what she cooked.
"Lmfao at Tiara, these hoes does the most for no reason lol. It's 2013 TT, fuck it.","Laughing my ass off at Tiara, these women do the most for no reason. It's 2013 TT, fuck it."
The fact this man call his self being mad at me cause he in the wrong.,"The fact is, this man calls himself mad at me because he is in the wrong."
"@ttboutadolla Ian seen you yet, you probably a brick house... But ion doubt it. Just fat and happy lol","Ian, I have seen you yet, you are probably a brick house... But I don't doubt it. Just fat and happy, lol."
@ballfirst you don't have to use a recruiter up there if you're a resident of mobile shit you act like you don't come home,You don't have to use a recruiter up there if you're a resident of Mobile. You act like you don't come home.
"Your priorities fucked, what Wale say... Put no nigga over your seed, get your figures up by all means.","Your priorities are messed up. What Wale said... Put no man over your child, get your finances in order by all means."
"Smh I have come to the realization this man ain't gone do right, so fucking what.","Shaking my head, I have come to the realization that this man is not going to do right, so whatever."
@YNBMCuttin_Up oh Ian know I had that shit I'm glad you heard that for me.,"Oh, I know I had that. I'm glad you heard that for me."
@redb396 the hell is dat and wer u go lastnite call me on mi new num bruh,"What is that and where did you go last night? Call me on my new number, bro."
Bout to fie up b 4 I go to this sherriff office! ...go c bout dis shit smelling like a pound #,"About to fire up before I go to this sheriff's office! Go see about this, it smells like a pound."
"Dat nigga Jean Cime ain't wrote a nigga yet, Smh...my mf nigga*...Smh....wuts up wit dat G. @jesse_summerall ? I knw u dne talk to my woe.","That guy Jean Cime hasn't written to me yet. Shaking my head... my motherfucking guy... Shaking my head... What's up with that, G? @jesse_summerall? I know you've talked to my whole crew."
My daddy finna blow me im like okay man just stop talking i ain't even did nun and u tweaking,"My dad is about to blow me up. I'm like okay man, just stop talking. I haven't even done anything and you're tweaking."
- Whenn Yoo Booyfriennd Got ALL THE HOES buut saay Youu Thee Onnly Onee .,When your boyfriend has many romantic partners but says you are the only one.
@MarcoGotti_ aye @Trebo_Montana u gotta give @1FREAKISHLYFLYY da jacket back n do it again g cuz me n @BAMMAHOLICS ain't see it g lol....,"Hey @Trebo_Montana, you need to give @1FREAKISHLYFLYY the jacket back and do it again, because me and @BAMMAHOLICS didn't see it, haha."
"Praying, here sitting with church member with daughter very sick in ER something real First Ladies do; will show cover that? #realministry","Praying, here sitting with a church member whose daughter is very sick in the emergency room - something real First Ladies do; will that be covered? #realministry"
"Pics coming soon ladies, check me out on YouTube cop that is the video and she fire! Always looking to get it in.","Pictures coming soon ladies, check me out on YouTube, cop that is the video and she's fire! Always looking to get it in."
