aae_from_sae,standard_american_english
I'm a straight G. I saved up some money; folks ain't pay for the bus this mornin'.,I am a straight G. I saved money; people didn't pay for the bus this morning.
"Mariah, go break a leg, and then your hurt self really ain't gonna be able to dance.","Mariah, go break a leg, and then her injured self really won't be able to dance."
"Folks think it's cool now, it's life after high school, ya can't be stayin' with ya parents forever.","People think it's cool now, it's life after high school, you can't stay with your parents forever."
They ain't never just left me in this shop under the dryer by myself!,They never just left me in this shop under the dryer by myself!
"You don't know nothin', ya behavior gon' be questionable too since I'm talkin' 'bout you.","You don't know anything, your behavior is going to be questionable too since I'm talking about you."
"Man, I'm s'posed to get my hair done today but Dajah or Dejah ain't respondin' to me! What's wrong with these folks?","Man, I'm supposed to get my hair done today but Dajah or Dejah isn't responding to me! What's wrong with these people?"
"Laughin' out loud, he talkin' 'bout Tata's mugshot when she got locked up; she looked like she was in fifth grade.","Laughing out loud, he's talking about Tata's mugshot when she got locked up; she looked like she was in fifth grade."
"I'm comin' for you and I ain't takin' no prisoners, and I ain't stoppin' 'til I get it poppin'!","I'm coming for you and I ain't taking any prisoners, and I won't stop until I get it popping!"
"You basic, even on my bad days I'm killin' it, and when I step out, you done *POW*","You're a basic person, even on my bad days I'm killing it, and when I step out, you're done *POW*"
@my_Ambition245 I'm good... my mama cooked me breakfast so I'm 'bout to eat and take my meds.,@my_Ambition245 I'm good... my mom cooked me breakfast so I'm going to eat and take my medication.
"@StefUHknee_ the key word is set. I found 'em, just had to put 'em together, lol.","@StefUHknee_ the key word is set. I found them, just had to put them together, lol."
"@WeedLifeOfLoud Somebody you might not know, but they name can't be said where everybody can see. 'Cause Alex be nosy.","@WeedLifeOfLoud Somebody you might not know, but their name can't be said where everybody can see. Because Alex is nosy."
"@Kierstenn_Ayeee For real, I ain't care if it was cool or not. I just ain't think y'all was right for each other.","@Kierstenn_Ayeee Honestly, I didn't care whether it was cool or not. I didn't think you all were right for each other."
@Kierstenn_Ayeee ??? Lol I'ma let you be. I just felt like bein' petty. I really ain't care 'bout that stuff; I got a man and couldn't care less.,@Kierstenn_Ayeee ??? Lol I'm going to leave you alone. I just felt like being rude. I really don't care about that stuff; I have a boyfriend and could not care less.
"I swore I wasn't gon' be that girl always talkin' 'bout her man, but my baby got me talkin', lol.","I swore I wasn't going to be that girl who constantly talked about her boyfriend, but my baby gives me something to talk about, lol."
"Evil folks. Whatever, as long as my angel good though! That person can have her life.","Evil people. Whatever, as long as my angel is okay though! That person can have her life."
"Oomf done come a long way. She used to be a geek, but now the streets done turned her into a whole gangster!","Oomf has come a long way. She used to be a geek, but now the streets have turned her into a whole gangster!"
"Lol, I'm mad sleepy. I ain't tryna get off here though. I been sleepin' all day.","Lol, I'm really sleepy. I don't want to get off here though. I've been sleeping all day."
"I wonder who gon' be my Valentine, that is if I ain't deliverin' my baby girl.","I wonder who is going to be my Valentine, that is if I am not delivering my baby girl."
"We fightin', but this person yellin' 'bout her tracks. Bald-headed. A person with hair wouldn't even care.","We are fighting, but this person is yelling about her tracks. Bald-headed. A person with hair wouldn't care."
I'm so funny. I'm so goofy! I just couldn't stop laughin' in her face.,I'm so funny. I'm so goofy! I just couldn't stop laughing in her face.
"That's 'cause you did all that, and I still wanted to fight. That mean you must've been real weak to me.","That's because you did all that, and I still wanted to fight. That means you must have been really weak to me."
"I can't believe it. Shol was really mad the day we fought! I can't believe it, it took forever for me to come back outside for round two though.","I can't believe it. Shol was really upset the day we fought! I can't believe it, it took forever for me to come back outside for round two though."
"Drunk and fake! If you love me, treat me like you do. You ain't supposed to treat someone you love like they ain't nothin'.","Drunk and fake! If you love me, treat me like you do. You shouldn't treat someone you love like they are nothing."
"@JusPaul202 I see you, fam! Do your thing just like I know you will! Much love!","@JusPaul202 I see you, man! Do your thing just as I expect you to! Much love!"
"I been notice I done grown up and matured so much more, and I'ma keep doin' that without the negative folks and energy.","I have noticed that I have grown up and matured so much more, and I am going to continue to do so without the negative people and energy."
"I miss my boyfriend like crazy. We was supposed to go out yesterday, but I was really sick, and now today he really sick too.","I miss my boyfriend like crazy. We were supposed to go out yesterday, but I was really sick, and now today he is really sick."
I could care less 'bout them girls as long as my folks love me.,I could care less about these girls as long as my friends love me.
I ain't selfish; I just know what I want and how I want it.,I'm not selfish; I just know what I want and how I want it.
I ain't told nobody outside my fam that I love 'em lately. Things gettin' serious out here. LOL.,I haven't told anyone outside of my family that I love them lately. Things are getting serious out here. Laughing out loud.
I'ma fix that. It's only right I tell everybody I got love for 'em and that I love 'em. You never know when it might be too late.,I am going to fix that. It's only right that I tell everyone I have love for them and that I love them. You never know when it might be too late.
The Ultimate Fighter: Jones vs. Sonnen had me wantin' to see more. Sonnen picked a dope team. Jones got some work to do.,The Ultimate Fighter: Jones vs. Sonnen left me wanting to see more. Sonnen picked an excellent team. Jones has some work to do.
I turn around and hit you up but never call back. I learned that from @PacinoD.,I turn around and hit you up but never call back. I learned that from @PacinoD.
"If you down, you down! Don’t matter if the other person mess up! If you down, you down, forget that nonsense!","If you're down, you're down! It doesn't matter if the other person messes up! If you're down, you're down, forget that nonsense!"
But I don’t know why everybody and they mama can get along with they exes! That’s terrible!,But I don't know why everybody and their mother can get along with their exes! That's terrible!
"An ex gon' still think about you if you was in love with 'em and all that, but not my ex, she crazy!","An ex will still think about you if you were in love with them and things like that, but not my ex, she's crazy!"
"Some dudes out here just fake, please don’t get fooled!","Some guys out here are just fake, please don't get fooled!"
We all crackin' up; I can get a shawty to hold me down. #IMRAPPEDOUT,We are all laughing; I can get a girl to take care of me. #IMRAPPEDOUT
My lil' yellow bone popped out; I told her to have fun 'til she turn red. #ILLLL She wild!,My little yellow bone shot out; I told her to have fun until she turns red. #ILLLL She is wild!
"So I hit up the store to grab a blunt, and when I got back, my dog done ate my weed. #angel","So I went to the store to get a blunt, and when I got back, my dog ate my weed. #angel"
"@SandraRose I was thinkin' the same thing; he real flamboyant, lol... sassy boy... hood licker (in my Jamaican voice) lol lol.","@SandraRose I was thinking the same thing; he is really flamboyant, lol... sassy boy... hood licker (in my Jamaican voice) lol lol."
"My girl! @LeAndriaJ sang! You workin' that bob, boo! My baby starin' at the TV like, 'Hmm, I know her...' lol.","My girl! @LeAndriaJ sang! You are working the bob, boo! My baby is staring at the TV like, 'Hmm, I know her...' lol."
"@earnestpugh Ayo, just holla at me when my delivery comin'! ;) Love ya! Now let’s get to work for real!","@earnestpugh Oh, just let me know when to expect my delivery! ;) Love you! Now let's get to work for real!"
"@leanbean_love Go handle that with the crystal. She ain't rockin' with you, NOT!","@leanbean_love Go take it up with the crystal. She is rocking with you, NOT!"
"I be wonderin' why I be lookin' at you under my eyes. I got a billion, and I'm 'bout to hit y'all from the sky!!","I wonder why I look at you under my eyes. I have a billion, and I'm going to hit you bitches from the sky!!"
"I'm sleepy and high as a kite, but I'ma stay up to count down the New Year in... 5-4-3-2-1.","I'm sleepy and high as a kite, but I'm going to stay up to count down the New Year in... 5-4-3-2-1."
"It ain't right that I ain't never made love, nah I ain't never did it, but I sho' know how to have sex!","It would be bad, that I never made love, no I never did it, but I sure know how to have sex!"
"I miss a whole lotta things, but you gotta do what you gotta do... :-)","I miss a lot of things, but you have to do what you have to do... :-)"
"MIXXXBOYZZZ is on fire! We 'bout to have the streets locked all over New York. We got all the boroughs covered, so it ain't nothin', trust me.","MIXXXBOYZZZ are on fire! We are going to have the streets locked all over New York. We service all boroughs, so it's nothing, trust me."
"@Honey_Bunni87 red velvet cake mix, cream cheese frosting, and walnuts or whatever kinda peanut topping you want.","@Honey_Bunni87 red velvet cake mix, cream cheese frosting, and walnuts or whatever kind of peanut topping you want."
"@Honey_Bunni87 lol I feel you, or how 'bout, yeah I got a job, but it ain't to finance your broke self lol.","@Honey_Bunni87 lol I know the feeling, or how about, yes I have a job, but it's not to finance your broke self lol."
"@Honey_Bunni87 I gotta go get my oil changed, so after that, unless you ridin' with me, I ain't gonna be available.","@Honey_Bunni87 I have to go get my oil changed, so after that, unless you are riding with me, I won't be available."
"I thought I was talkin' to you, but you say we ain't talkin', so forget it.","I thought I was talking to you, but you say we are not talking, so forget it."
"@miss_booLovin, oh my gosh, ain't nobody ever asked me somethin' like that before. I ain't gonna do it; you can hate me all you want.","@miss_booLovin, oh my gosh, I have never been asked something like that before. I am not going to do it; you can hate me all you want."
"This situation crazy. I wanna work things out, but what you tellin' me to write ain't gonna work for me.","This situation is crazy. I want to work things out, but what you are telling me to write is not going to work for me."
What the heck? I ain't gotta hide nothin' from you. I can do whatever I want. You forget we ain't together? Duh.,What the heck? I don't have to hide anything from you. I can do whatever I want. Did you forget we are not together? Duh.
"@miss_booLovin, I said if this don't work out, I'm givin' up and goin' to my white girl. I said I ain't gonna give up that easy.","@miss_booLovin, I said if this doesn't work out, I am giving up and going to my white girl. I said I am not going to give up that easily."
"@miss_booLovin come chill with me, I gotchu, even though that’s a lot to ask.",@miss_booLovin come sit with me and I will solve it even though that's a lot to ask.
"You thought it was about you, huh? I bet you feel real silly.","You thought it was about you, didn't you? I bet you feel foolish."
"@Naturally_Dope7 we need to text sometime. You still a bum, why you always gettin' mad at me?","@Naturally_Dope7 we should text sometime. You are still a bum, and why do you get so mad at me?"
"Why I gotta play by the rules when nobody else do? Ain't none of these folks got morals, smh.","Why should I play by the rules when nobody else does? None of these people have morals, shaking my head."
My new song stuck in my head; I might have a hit. But we gon' see.,My new song is stuck in my head; I might have a hit. But we will see.
I wish it was another hour in the day so I could love her 25/8.,I wish there was another hour in the day so I could love her 25/8.
"I got a lotta girls I could call to chill with, but to be real, I ain't even tryna deal with them. I'd rather get my grind on.","There are a lot of women I could call to hang out with, but to be honest, I don't even feel like dealing with those girls. I'd rather hustle."
I'm feelin' real good tonight; I ain't gone hard in a minute. It's long overdue. I ain't worked this hard since I was 18.,I'm on a natural high tonight; I haven't gone hard in a while. It's long overdue. I haven't worked this hard since I was 18.
Took all this time believin' in myself for others to see my visions. #Thankful,It took all this time of believing in myself for others to see my visions. #Thankful
"People try to play you when they think you down, and ride your coattails when they think you up. But 'think' is the main word.","People try to play you when they think you're down, and ride your coattails when they think you're up. But 'think' is the main word."
"Most of my friends ain't makin' as much as me, but I ain't never looked down on 'em.","The majority of my friends earn less than I do, but I have never looked down on them."
"I wish she was here with me right now, but she don't want it no more.","I wish she were here with me right now, but she doesn't want it anymore."
"Uh oh, tax time comin' up. #MoneyPics 'bout to be poppin'.","Uh oh, income tax time is approaching. #MoneyPics will be at an all-time high."
"I'm thinkin' 'bout how I'ma design my daughter's name tattoo. It's only my second one, so I gotta plan it out real good. Can't be regrettin' where I put it.","I am thinking about how I am going to design my daughter's name tattoo. It will only be my second one, so I have to really plan it out. I can't regret the placement."
I punished 'em hard. I ain't know we was doin' it like this tonight. #GoodStuff,I punished them severely. I didn't know we were going to do it like this tonight. #GoodStuff
"Nate Robinson too hyped; the game ain't over yet, boy. This ain't the championship, lol.","Nate Robinson is a little too excited; the game is not over yet, boy. This isn't the championship, lol."
What if Meek and Cassidy battle and Cassidy take down Meek with some Math skills? Lmao.,What if Meek and Cassidy battle and Cassidy defeats Meek with some Math skills? Lmao.
Ritz crackers lookin' real light-skinned now. Beyonce probably got somethin' to do with it. Lol.,Ritz crackers are really light-skinned now. Beyonce probably has something to do with it. Lol.
Silence from the peanut gallery; now I'm 'bout to finish 'em. LeBron took they soul with that three-pointer.,Silence from the peanut gallery; now I'm going to finish them. LeBron took their soul with that three-pointer.
"Y'all make the 8th seed, and OKC 'bout to drench y'all. So just makin' the playoffs feel like the championship for LA.","You all make the 8th seed, and OKC is going to drench you all. So just making the playoffs is like the championship for LA."
He mad. He came to my crib outta nowhere and I wasn’t even there. Ain’t my problem!,He is upset. He came over to my house unannounced and I was not there. Not my problem!
"Yeah, then they gon’ act like it’s all good knowing they ain’t record me gettin’ jumped. That’s weak as hell.","Yes, then they are going to say it's all good knowing they didn't record me getting jumped. That is weak as hell."
"You see that dude Runta @Lakewood Runta? I really mess with him, he real cool and he my close homie!","See that guy Runta @Lakewood Runta? I really like that guy, he is really cool and he is my close friend!"
"Man, I can’t cuss on Twitter, but I thought you was supposed to keep it real.","Oh man, I can't use profane language on Twitter, but I thought you were supposed to speak your mind."
I’m hella excited this early in the mornin’... I’m straight up naked just waitin’ for somethin’ to pop off.,I am really excited at this time of the morning... I am completely naked just patiently waiting for something.
Things gotta change all 'round me. I ain't gon' be unhappy. I ain't gon' be unsatisfied with life. I ain't.,Things have to change all around me. I refuse to be unhappy. I refuse to be unsatisfied with life. I refuse.
I'm 'bout to wash these dishes and do my 30-minute workout. Summer gon' be here before we know it.,I am about to wash the dishes and do my 30-minute workout. Summer will be here before we know it.
"That anti-bullying commercial get on my nerves. I wish I could confront them kids! If you wanna bully him, I’ll show you what a real bully is!","That anti-bullying commercial frustrates me. I wish I could confront those kids! If you want to bully him, I will show you what a bully is!"
"I'm puttin' on every single piece of clothing I got to go to work today. I don't care, this cold is too much!","I am putting on every single piece of clothing I have to go to work today. I don't care, this cold is unbearable!"
I can't wait to get another car. I just gotta make sure it's in excellent condition. I bet I'ma take a man with me this time.,I can't wait to get another car. I just have to make sure it's in excellent condition. I bet I will take a man with me this time.
"I'm up watchin' TV, waitin' for this snow to fall, lol. It'd be nice to get some, though.","I'm up watching TV, waiting for this snow to fall, lol. It would be nice to get some, though."
"You get the best sleep when you gotta get up early for somethin', but when it's a free day, you havin' nightmares, hot flashes, cramps, headaches, and all kinds of issues.","You get the best sleep when you have to get up early for something, but when it's a free day, you have nightmares, hot flashes, cramps, headaches, and all kinds of issues."
"Three to four days outta the month, I hate bein' a girl. Why Eve eat that apple?","Three to four days out of the month, I hate being a girl. Why did Eve eat the apple?"
"Kellogg's cereal ain't got no flavor. Oh, sugar-free nonsense! I really like Reese's Puffs and Cap'n Crunch.","Kellogg's cereal has no flavor. Oh, sugar-free nonsense! I really like Reese's Puffs and Cap'n Crunch."
Where my little sister at? She ain't made it in. I'm really worried; this ain't like her at all.,Where is my little sister? She hasn't made it in. I'm really worried; this is not like her at all.
"I asked Nyla where her baby daddy at, and she said, 'He gone to my house. She too grown.'","I asked Nyla where her baby daddy was, and she said, 'He's gone to my house. She's too grown.'"
I can't stand a woman who try too hard; them the ones who got so many points to prove!,I dislike a woman who tries too hard; those are the ones who have so many points to prove!
"Man, look, I'm tired of this. I'm 'bout to take a break from this. I told my homie to pass the gun and watch me handle this quietly.","Man, look, I'm tired of this. I'm going to take a break for this. I told my friend to pass the gun and watch me handle this situation quietly."
"I got 50 dudes with me, but only 20 gon' fight 'cause the other 30 got guns in the trunk.","I have 50 guys with me, but only 20 are going to fight because the other 30 have guns in the trunk."
We ain't really 'bout talkin'; we 'bout action. He ain't 'bout that life; catch him in traffic.,We aren't really about talking; we are about action. He isn't about that life; catch him in traffic.
"This girl on the phone with Javon talkin' 'bout how she layin' in the bed naked, lol. That boy got some wild friends.","This girl is on the phone with Javon talking about how she is lying in the bed naked, lol. That boy has some wild friends."
"Heavyset women on Twitter callin' themselves Barbies; you ain't no Barbie, you a Care Bear.","Heavyset women on Twitter are calling themselves Barbies; you are not a Barbie, you are a Care Bear."
"If I ain't asleep by 7:20, I'ma get up and go to school; I'ma just be late.","If I am not asleep by 7:20, I will get up and go to school; I will just be late."
I wonder if me and Kayla still gon' be friends when I become a police officer.,I wonder if Kayla and I will still be friends when I become a police officer.
"I'ma say my prayers and hit the bed. It ain't the best night, but it was better than most.","I will say my prayers and go to bed. It wasn't the best night, but it was better than most."
"If you ain't God, my mama, or my partner, I ain't gotta do nothin' for you or answer your silly questions. #KeepThatInMind","If you are not God, my mother, or my partner, I am not obligated to do anything for you or answer any of your silly questions. #KeepThatInMind"
"I wonder if my daddy gon' loan me 'bout $530. That iPhone callin' me, haha.","I wonder if my father will loan me about $530. The iPhone is calling me, haha."
I can't even sit and watch soccer or baseball on the TV. It's just too much.,I can't bring myself to sit and watch soccer or baseball on TV. It's unbearable.
"*pause* Your Instagram name say 'straight lesbian,' but you posted a pic of your son. Somethin' ain't right here.","*pause* Your Instagram name says 'straight lesbian,' but you posted a picture of your son. Something doesn't seem right here."
Somebody talkin' 'bout ass and toast. Somebody else talkin' 'bout bitin' folks. An' another person talkin' 'bout his stuff. What’s wrong with my timeline?,Someone is talking about ass and toast. Someone else is talking about biting people. Another person is talking about his stuff. What is wrong with my timeline?
"I can't wait to hit this graduation cruise! All I need is a 3.0 GPA, all expenses paid, an' I can bring somebody with me.","I can't wait to go on this graduation cruise! All I need is a 3.0 GPA, all expenses paid, and I can bring someone along."
"I wanna show you what real love can do. Girl, let me love you right.","I would like to show you what true love can really do. Girl, let me love you."
"Maybe it run in the family... none of my sisters or brothers got a chill. We probably twitch in our sleep an' stuff, laughin' out loud.","Maybe it runs in the family... none of my sisters or brothers have a chill. We probably twitch in our sleep and stuff, laughing out loud."
"Malik, that little annoying person, 'bout to get blocked from my phone, that old no-life havin', bored person.","Malik, that little annoying person, is about to get blocked from my phone, that old no-life having, bored person."
"It's sad you be lyin' 'bout little stuff. I could ask what day it is, and you gon' say Friday, knowin' good and well it's Tuesday.","It's sad that you lie about trivial things. I could ask what day it is, and you'll say Friday, knowing very well it's Tuesday."
Ain't nothin' like wakin' up and seein' a missed call or text from him.,The best feeling is when I wake up and see a missed call or text from him.
My baby know he back. I got his ex's role I be playin'.,My baby knows that he is back. I have his ex's role that I play.
Julio look like he back at Alabama with a freshman lined up against him... he dominatin' out there.,Julio looks like he's back at Alabama with a freshman lined up against him... he's dominating out there.
I'm tired of playin' in the background. I'm 'bout to bring some energy to the game. For real!,I'm tired of playing in the background. I'm about to bring some energy to the game. Seriously!
"@YungDoom @_l85doe With all that talk 'bout injuries, they still had a shot at the postseason. Firing Garrett ain't gon' change nothin'.","@YungDoom @_l85doe With everything you just said about injuries, they were still in a position to make the postseason. Firing Garrett would do nothing."
@S_lovaaaa I'm Stef.... I'ma just act like they ain't live right 'round the corner from me.,@S_lovaaaa I am Stef.... I'll just act like they didn't live around the corner from me.
"So I'm eatin' breakfast and ""Pop That Coochie"" come on, lol. I just took my L.","So I'm eating breakfast and ""Pop That Coochie"" comes on, lol. I just got my loss."
"@Dave_Hollister Love you, Dave. Much love to you and the fam, and God bless us all.","@Dave_Hollister Love you, Dave. Much love to you and the family, and God bless us all."
"@DGN_BossMya I know, right? I was scrollin' through my Facebook and I was like, ""What the heck? I was such a loser.""","@DGN_BossMya I know, right? I was looking through my Facebook and I was like, ""What the heck? I was such a loser."""
"Aight, fam, I'm 'bout to go scoop Shara and you tried to set me up. I heard what went down.","Alright, fool, I'm about to go get Shara and you tried to set me up. Okay, I heard what happened."
"I went to work but ain't know I was supposed to be in at 8, so I guess I'm 'bout to go grab some breakfast and take a lil nap to kill this hour and a half.","I went to work but didn't know I was supposed to be in at 8, so I guess I'm about to go grab some breakfast and take a nap to kill this hour and a half."
"Yeah, I really can't stand Joe Budden with his fake self. I don't like how he be talkin' to folks.","Yes, I really dislike Joe Budden with his fake self. I don't like the way he talks to people."
"This girl @sookie_badass come over here like she an alarm clock, wakin' folks up.",This girl @sookie_badass comes over here like she's an alarm clock waking people up.
I'm up playin' Ruzzle like I don't gotta be at work early in the mornin'. This game mad fun.,I'm up playing Ruzzle like I don't have to be at work early in the morning. This game is fun.
Pandora must know how I’m feelin’ ‘cause they playin’ all the chill music.,Pandora must know what type of mood I'm in because they are playing all the chill music.
"I live my life every day, ain’t nothin’ gon’ stress me out. Folks be wonderin’ why I’m always smilin’ and laughin’, it’s ‘cause I don’t let stuff get to me.",I live life every day and I don't let anything worry me. People wonder why I'm always smiling and laughing because I don't let things get to me.
"I ain’t never goin’ to Ijump again. Too many kids and too much noise, lol.","I will never go to Ijump again. There are too many kids and too much noise, lol."
"@Jasmine_Yazmine, lol, fold yourself up and me and Yasmine ‘bout to head to Crosstenth, lol.","@Jasmine_Yazmine, lol, fold yourself up and me and Yasmine are going to head to Crosstenth, lol."
"#ImDone, straight up. They told me I gotta care ‘bout somethin’. Yeah, I do care ‘bout people, but only the ones that care ‘bout me.","#ImDone, straight up. They told me I have to care about something. Yes, I do care about people, but only the ones that care about me."
"@BADASS_MANIAC When you off next so I can scoop you up like I did last time, lol.","@BADASS_MANIAC When is the next time you are off so I can get you like I did last time, lol."
"@GENsoldier Lol, I wish I was there. I woulda been laughin' so hard. Was she Black or White?","@GENsoldier Lol, I wish I was there. I would have been laughing so hard. Was she Black or White?"
"Try that if you want to, lol. I’ll drag you up that hill and tie you to them railroad tracks.","Try that if you want to, lol. I will drag you up that hill and tie you to the railroad tracks."
"I wanna hit the club tonight when I get off, but if it rains, I’ll just chill with my folks tonight.","I want to go to the club tonight when I get off, but if it rains, I'll just hang out with my friends tonight."
"The coach always picked up change when he found it, lol. He said money is money.","The coach always picked up change when he found it, lol. He said money is money."
I say I'm real 'cause that's what I am. Ain't nobody gon' call me fake 'cause there ain't no fake people.,I say I'm real because that's what I am. Nobody can call me fake because there are no fake people.
Why do girls think when we say we don't love these girls we must be talkin' 'bout our girlfriend? I know good and well most guys don't think their girlfriend a bad person.,Why do girls think when we say we don't love these girls we must be talking about our girlfriend? I know very well that most guys don't think their girlfriend is a bad person.
We gon' end up bein' two people who love each other but can't be together.,We are going to end up being two people who love each other but can't be together.
"What is wrong with that referee? He really got me mad. Talkin' 'bout a foul, he better not disrespect me.","What is wrong with that referee? He really made me mad. Talking about a foul, he better not disrespect me."
I need to work on myself a lot; either she gon' be here to help me or not.,I need to work on myself a lot; either she is going to be here to help me or not.
I really can’t stand my dad; I don’t even think I’ll be sad at his funeral.,I really dislike my dad; I don't even think I will be sad at his funeral.
I’m ’bout to hook up my PS3 to my big TV; I ain’t gonna be able to watch TV and play my game at the same time no more.,I'm going to connect my PS3 to my big TV; I won't be able to watch TV and play my game at the same time anymore.
We can’t even play a lil’ football game without some trouble poppin’ off in this neighborhood.,We can't even play a little football game without there being trouble in this neighborhood.
"When I first met her, I was like, I’m gonna make that girl mine. I gotta get her; I ain’t know nothin’ ’bout her. I just had to make her mine.","When I first met her, I said I am going to make that girl mine. I have to get her; I didn't know anything about her. I just had to make her mine."
I need to holla at a preacher ’bout the stuff that be happenin’ to me at night; it feel like somethin’ tryin’ to get me.,I need to talk to a preacher about the things that happen to me at night; it feels like something is trying to get me.
"I come lookin' for you with Haitians, I stay smokin' on that good Jamaican weed, I got relationships with women from all kinda races.","I come looking for you with Haitians, I stay smoking on good Jamaican weed, I have relationships with women from different races."
"I hate when women bring up my girl; she ain't worried 'bout you, so don't worry 'bout her.","I hate when women bring up my girlfriend; she isn't worried about you, so don't worry about her."
I don't want no good girl 'cause I fell in love with these adventurous women!,I don't want a good girl because I fell in love with these adventurous women!
O.J. was a real good special teams player; I hate that this happened to him.,O.J. was a very good special teams player; I hate that this happened to him.
"Some girls see gettin' pregnant as an accomplishment, like it was the only thing they was lookin' forward to!","Some girls view getting pregnant as an accomplishment, as if it was the only thing they were looking forward to!"
"I can't believe this dude just told me goodbye and to get off his phone. Aight, cool, say no more.","I can't believe this guy just told me goodbye and to get off his phone. Okay, cool, say no more."
Good mornin'! I'm thankful to the man above for lettin' me and my daughter Keira see another 24 hours. I feel blessed.,Good morning! I'm thankful to the man above for allowing me and my daughter Keira to see another 24 hours. I feel blessed.
"This gon' be the first pair of shoes I buy this year. If I told you how much I'm 'bout to spend, you would think I'm crazy.","This will probably be the first pair of shoes I buy this year. If I told you how much I'm going to spend, you would think I'm crazy."
"Lol, I remember when I first found out I was 'bout to be a dad. I turned into a drunk for 'bout a month.","Lol, I remember when I first found out I was going to be a dad. I turned into a drunk for about a month."
"Yeah, go 'head and slide in there 'cause she losin' her appeal; she don't sleep around a lot, lol.","Yeah, go ahead and slide in there because she is losing her appeal; she doesn't sleep around a lot, lol."
"Lol, my homegirl really shoulda got them 501s. I woulda snatched 'em from her.","Lol, my friend really should have gotten those 501s. I would have gotten them from her."
"Lol, if you can spot a coward from that last tweet, I’ll give you everything in my pockets.","Lol, if you can identify a coward from that last tweet, I will give you everything in my pockets."
I’m gettin’ the car fixed sometime this week. Somebody really did a hit and run on me.,I am getting the car fixed sometime this week. Someone really did a hit and run on me.
I heard somebody slipped and fell in that hot donut glaze. I musta seen the hot sign... is that true?? #QTNA,I heard someone would have slipped and fallen in hot donut glaze. I must have seen the hot sign... is it true?? #QTNA
"I just saw the weakest twerk video ever on Facebook, and it got 77 likes. Shakin’ my head.","I just saw the weakest twerk video ever on Facebook, and it got 77 likes. Shaking my head."
Remember when somebody did you wrong? I was the one who treated you right.,Remember when you had someone who treated you wrong? I was the one who treated you right.
"To be real, I don’t be textin’ or callin’ nobody no more; I just wait for them to hit me up. That’s just how I roll.","To be honest, I don't text or call people anymore; I wait for them to text or call me. That's just how I am."
"I got my team out here, and we play for keeps. We out here in the streets without the cops.","I have my team in the field, and we play for keeps. We're out here in the streets without the police."
I can’t stand when folks be talkin’ ‘bout bein’ real. How you gon’ say you real if you ain’t supportin’ your crew?,I dislike when people talk about being real. How can you claim to be real if you don't support your crew?
"I’m a rapper, and I rap at school. I got skills; I’m real good at it.","I'm a rapper, and I rap at school. I have skills; I'm really good at it."
"But I don’t drink no wine 'til 'round 11. That’s my nighttime vibe, lol.","But I don't drink wine until around 11. It's my nighttime thing, lol."
"Oh my gosh, I ain't never think I’d be planning a baby shower for myself!","Oh my gosh, I never thought I would be planning a baby shower for myself!"
I’m 'bout to put Keshia out for comin' in here and turnin' on the TV and everything!,I'm going to put Keshia out for coming in here and turning on the TV and everything!
"I’m a real woman who’s always down to ride; I just need a real man who’s ridin' with me, no questions asked!","I'm a real woman who's always down to ride; I just need a real man who's riding with me, no questions asked!"
You must be expectin' a baby with all that sleepin' you been doin'!,You must have a baby on the way with all the sleeping you have been doing!
"Ka'nya gon' be here in March, and my birthday in May. I ain't even know what I'ma do!","Ka'nya will be here in March, and my birthday is in May. I don't know what I'm going to do!"
"@Deezy_ilyGcode Just wanted to let you know I'm havin' my shower on February 10, so you can get that invite ready sometime this month, right?","@Deezy_ilyGcode I wanted to let you know I'm having my shower on February 10, so you can make the invitation sometime this month, right?"
"@BreadonDaSlab Oh yeah, you know I got my little brother's back, I'll do anything for him.","@BreadonDaSlab Oh yeah, you already know I'll do anything for my little brother because I know he has my back when I need him."
"I got this big ol' pimple all the way up to my ear, man. I can't stand that.","I have a big pimple all the way up to my ear, man. I hate that."
"I keep it on me like it's a wound; she wanna sleep with me, but she don't even know me.","I keep it on me like it's a wound; she wants to sleep with me, but she doesn't know me."
"If she liked that first gift, that’s just the beginning. I got a lil' surprise for her. #Miwantherbad","If she liked the first gift, that's only the tip of the iceberg. I have a trick up my sleeve. #Miwantherbad"
I woke up at noon like a boss. Took my insulin like a boss. Checked my emails like a boss. Now I’m tryna plan out the next 12 hours like a boss.,I woke up at noon like a boss. Took insulin like a boss. Checked emails like a boss. Now I'm planning out the next 12 hours like a boss.
@TrapperKeepr I know you was tough on 'em; you just made it easier for 'em in the right ways!,@TrapperKeepr I know you were tough on them; you just made it easier for them in the right ways!
"@YoungTe618 Haha, I need to hit up your roach stash one day. I was over there and it had me higher than anything!","@YoungTe618 Haha, I should hit your roach stash one day. I was over and it got me higher than anything!"
"@LoveLee_Laura Aww, that’s sweet! I know they gonna miss you so much! I saw your little lady’s cheer pics yesterday; I’m so proud of her!","@LoveLee_Laura Aww, that's sweet! I'm sure they will miss you to pieces! I saw your little lady's cheer pictures yesterday; I'm so proud of her!"
I hope my baby enjoy his day and stop lettin' dumb folks and dumb stuff get to him! We makin' too much progress to look back on last year's drama.,I hope my baby enjoys his day and stops letting dumb people and dumb things get to him! We are making too much progress to look back on last year's drama.
